name.1,id.1,racetrack.1,lap,help.1,experience.1,race_number.1,duration,three_race_duration
0,7,1,3,2,1,,,0.0
0,7,1,4,2,1,,,0.0
0,7,1,5,2,1,,,0.0
0,7,2,1,3,1,,,0.0
0,7,2,2,3,1,,,0.0
0,7,2,3,3,1,,,0.0
0,7,2,4,3,1,,,0.0
0,7,2,5,3,1,,,0.0
LW ID1,8,1,1,2,2,,58.04,996.3
LW ID1,8,1,2,2,2,,52.75,996.3
LW ID1,8,1,3,2,2,,51.5,996.3
LW ID1,8,1,4,2,2,,51.75,996.3
LW ID1,8,1,5,2,2,,55.44,996.3
LW ID1,8,2,1,3,2,,80.58,996.3
LW ID1,8,2,2,3,2,,98.35,996.3
LW ID1,8,2,3,3,2,,77.61,996.3
LW ID1,8,2,4,3,2,,77.96,996.3
LW ID1,8,2,5,3,2,,71.32,996.3
LW ID1,8,3,1,1,2,,65.88,996.3
LW ID1,8,3,2,1,2,,62.23,996.3
LW ID1,8,3,3,1,2,,66.0,996.3
LW ID1,8,3,4,1,2,,61.18,996.3
LW ID1,8,3,5,1,2,,65.71,996.3
JS ID2,9,2,1,3,2,,90.22,982.48
JS ID2,9,2,2,3,2,,81.08,982.48
JS ID2,9,2,3,3,2,,74.01,982.48
JS ID2,9,2,4,3,2,,72.37,982.48
JS ID2,9,2,5,3,2,,89.44,982.48
JS ID2,9,3,1,1,2,,65.7,982.48
JS ID2,9,3,2,1,2,,60.51,982.48
JS ID2,9,3,3,1,2,,71.82,982.48
JS ID2,9,3,4,1,2,,61.53,982.48
JS ID2,9,3,5,1,2,,63.02,982.48
JS ID2,9,1,1,2,2,,57.89,982.48
JS ID2,9,1,2,2,2,,49.75,982.48
JS ID2,9,1,3,2,2,,53.04,982.48
JS ID2,9,1,4,2,2,,45.62,982.48
JS ID2,9,1,5,2,2,,46.48,982.48
MH ID13,10,1,1,1,2,,99.46,1329.34
MH ID13,10,1,2,1,2,,68.0,1329.34
MH ID13,10,1,3,1,2,,76.96,1329.34
MH ID13,10,1,4,1,2,,70.72,1329.34
MH ID13,10,1,5,1,2,,87.25,1329.34
MH ID13,10,2,1,2,2,,93.01,1329.34
MH ID13,10,2,2,2,2,,110.65,1329.34
MH ID13,10,2,3,2,2,,93.11,1329.34
MH ID13,10,2,4,2,2,,99.13,1329.34
MH ID13,10,2,5,2,2,,87.89,1329.34
MH ID13,10,3,1,3,2,,76.01,1329.34
MH ID13,10,3,2,3,2,,111.12,1329.34
MH ID13,10,3,3,3,2,,87.73,1329.34
MH ID13,10,3,4,3,2,,73.52,1329.34
MH ID13,10,3,5,3,2,,94.78,1329.34
NS ID4,11,2,1,2,2,,91.19,1105.42
NS ID4,11,2,2,2,2,,88.86,1105.42
NS ID4,11,2,3,2,2,,91.21,1105.42
NS ID4,11,2,4,2,2,,86.01,1105.42
NS ID4,11,2,5,2,2,,72.65,1105.42
NS ID4,11,3,1,3,2,,84.74,1105.42
NS ID4,11,3,2,3,2,,67.51,1105.42
NS ID4,11,3,3,3,2,,68.64,1105.42
NS ID4,11,3,4,3,2,,75.62,1105.42
NS ID4,11,3,5,3,2,,73.27,1105.42
NS ID4,11,1,1,1,2,,58.74,1105.42
NS ID4,11,1,2,1,2,,64.46,1105.42
NS ID4,11,1,3,1,2,,59.31,1105.42
NS ID4,11,1,4,1,2,,61.3,1105.42
NS ID4,11,1,5,1,2,,61.91,1105.42
VK ID14,12,3,1,3,2,,70.78,955.26
VK ID14,12,3,2,3,2,,65.68,955.26
VK ID14,12,3,3,3,2,,66.3,955.26
VK ID14,12,3,4,3,2,,72.59,955.26
VK ID14,12,3,5,3,2,,62.11,955.26
VK ID14,12,1,1,1,2,,54.88,955.26
VK ID14,12,1,2,1,2,,47.98,955.26
VK ID14,12,1,3,1,2,,49.79,955.26
VK ID14,12,1,4,1,2,,53.31,955.26
VK ID14,12,1,5,1,2,,47.59,955.26
VK ID14,12,2,1,2,2,,72.45,955.26
VK ID14,12,2,2,2,2,,78.7,955.26
VK ID14,12,2,3,2,2,,66.87,955.26
VK ID14,12,2,4,2,2,,81.46,955.26
VK ID14,12,2,5,2,2,,64.77,955.26
AuL ID10,13,2,1,1,2,,82.2,1081.16
AuL ID10,13,2,2,1,2,,76.71,1081.16
AuL ID10,13,2,3,1,2,,76.2,1081.16
AuL ID10,13,2,4,1,2,,80.68,1081.16
AuL ID10,13,2,5,1,2,,73.24,1081.16
AuL ID10,13,3,1,2,2,,88.99,1081.16
AuL ID10,13,3,2,2,2,,74.1,1081.16
AuL ID10,13,3,3,2,2,,85.46,1081.16
AuL ID10,13,3,4,2,2,,83.88,1081.16
AuL ID10,13,3,5,2,2,,70.74,1081.16
AuL ID10,13,1,1,3,2,,70.84,1081.16
AuL ID10,13,1,2,3,2,,57.39,1081.16
AuL ID10,13,1,3,3,2,,56.09,1081.16
AuL ID10,13,1,4,3,2,,52.68,1081.16
AuL ID10,13,1,5,3,2,,51.96,1081.16
BS ID12,14,3,1,2,2,,75.06,969.93
BS ID12,14,3,2,2,2,,76.69,969.93
BS ID12,14,3,3,2,2,,68.03,969.93
BS ID12,14,3,4,2,2,,65.16,969.93
BS ID12,14,3,5,2,2,,73.35,969.93
BS ID12,14,1,1,3,2,,50.14,969.93
BS ID12,14,1,2,3,2,,49.65,969.93
BS ID12,14,1,3,3,2,,48.16,969.93
BS ID12,14,1,4,3,2,,56.64,969.93
BS ID12,14,1,5,3,2,,53.8,969.93
BS ID12,14,2,1,1,2,,93.1,969.93
BS ID12,14,2,2,1,2,,62.21,969.93
BS ID12,14,2,3,1,2,,62.55,969.93
BS ID12,14,2,4,1,2,,64.01,969.93
BS ID12,14,2,5,1,2,,71.38,969.93
NB ID3,15,1,1,3,3,,50.74,885.76
NB ID3,15,1,2,3,3,,50.82,885.76
NB ID3,15,1,3,3,3,,49.66,885.76
NB ID3,15,1,4,3,3,,49.87,885.76
NB ID3,15,1,5,3,3,,45.18,885.76
NB ID3,15,2,1,1,3,,68.05,885.76
NB ID3,15,2,2,1,3,,60.38,885.76
NB ID3,15,2,3,1,3,,59.31,885.76
NB ID3,15,2,4,1,3,,65.85,885.76
NB ID3,15,2,5,1,3,,62.58,885.76
NB ID3,15,3,1,2,3,,74.59,885.76
NB ID3,15,3,2,2,3,,62.07,885.76
NB ID3,15,3,3,2,3,,60.93,885.76
NB ID3,15,3,4,2,3,,61.43,885.76
NB ID3,15,3,5,2,3,,64.3,885.76
AS ID6,16,3,1,1,3,,69.44,532.29
AS ID6,16,3,2,1,3,,59.19,532.29
AS ID6,16,3,3,1,3,,60.08,532.29
AS ID6,16,3,4,1,3,,59.64,532.29
AS ID6,16,3,5,1,3,,60.08,532.29
AS ID6,16,1,1,2,3,,47.79,532.29
AS ID6,16,1,2,2,3,,43.56,532.29
AS ID6,16,1,3,2,3,,44.25,532.29
AS ID6,16,1,4,2,3,,43.61,532.29
AS ID6,16,1,5,2,3,,44.65,532.29
AS ID6,16,2,1,3,3,,,532.29
AS ID6,16,2,2,3,3,,,532.29
AS ID6,16,2,3,3,3,,,532.29
AS ID6,16,2,4,3,3,,,532.29
AS ID6,16,2,5,3,3,,,532.29
IA ID16,17,1,1,2,3,,49.82,802.13
IA ID16,17,1,2,2,3,,46.03,802.13
IA ID16,17,1,3,2,3,,42.73,802.13
IA ID16,17,1,4,2,3,,44.59,802.13
IA ID16,17,1,5,2,3,,43.89,802.13
IA ID16,17,2,1,3,3,,60.04,802.13
IA ID16,17,2,2,3,3,,55.78,802.13
IA ID16,17,2,3,3,3,,65.0,802.13
IA ID16,17,2,4,3,3,,55.56,802.13
IA ID16,17,2,5,3,3,,54.2,802.13
IA ID16,17,3,1,1,3,,60.52,802.13
IA ID16,17,3,2,1,3,,56.38,802.13
IA ID16,17,3,3,1,3,,56.54,802.13
IA ID16,17,3,4,1,3,,55.03,802.13
IA ID16,17,3,5,1,3,,56.02,802.13
MaL ID19,18,2,1,3,3,,70.0,923.55
MaL ID19,18,2,2,3,3,,70.0,923.55
MaL ID19,18,2,3,3,3,,74.95,923.55
MaL ID19,18,2,4,3,3,,63.85,923.55
MaL ID19,18,2,5,3,3,,64.85,923.55
MaL ID19,18,3,1,1,3,,76.91,923.55
MaL ID19,18,3,2,1,3,,64.11,923.55
MaL ID19,18,3,3,1,3,,68.04,923.55
MaL ID19,18,3,4,1,3,,64.88,923.55
MaL ID19,18,3,5,1,3,,64.4,923.55
MaL ID19,18,1,1,2,3,,51.76,923.55
MaL ID19,18,1,2,2,3,,48.45,923.55
MaL ID19,18,1,3,2,3,,48.12,923.55
MaL ID19,18,1,4,2,3,,47.78,923.55
MaL ID19,18,1,5,2,3,,45.45,923.55
NP ID20,19,1,1,1,3,,64.0,987.12
NP ID20,19,1,2,1,3,,51.63,987.12
NP ID20,19,1,3,1,3,,54.36,987.12
NP ID20,19,1,4,1,3,,52.93,987.12
NP ID20,19,1,5,1,3,,51.12,987.12
NP ID20,19,2,1,2,3,,85.88,987.12
NP ID20,19,2,2,2,3,,70.98,987.12
NP ID20,19,2,3,2,3,,71.72,987.12
NP ID20,19,2,4,2,3,,72.09,987.12
NP ID20,19,2,5,2,3,,71.82,987.12
NP ID20,19,3,1,3,3,,72.04,987.12
NP ID20,19,3,2,3,3,,68.48,987.12
NP ID20,19,3,3,3,3,,66.21,987.12
NP ID20,19,3,4,3,3,,66.42,987.12
NP ID20,19,3,5,3,3,,67.44,987.12
FW ID22,20,2,1,2,3,,62.25,811.64
FW ID22,20,2,2,2,3,,59.29,811.64
FW ID22,20,2,3,2,3,,59.1,811.64
FW ID22,20,2,4,2,3,,58.8,811.64
FW ID22,20,2,5,2,3,,58.69,811.64
FW ID22,20,3,1,3,3,,61.12,811.64
FW ID22,20,3,2,3,3,,59.87,811.64
FW ID22,20,3,3,3,3,,57.7,811.64
FW ID22,20,3,4,3,3,,58.65,811.64
FW ID22,20,3,5,3,3,,57.7,811.64
FW ID22,20,1,1,1,3,,46.18,811.64
FW ID22,20,1,2,1,3,,42.67,811.64
FW ID22,20,1,3,1,3,,43.4,811.64
FW ID22,20,1,4,1,3,,42.46,811.64
FW ID22,20,1,5,1,3,,43.76,811.64
0,21,2,1,3,3,,,0.0
0,21,2,2,3,3,,,0.0
0,21,2,3,3,3,,,0.0
0,21,2,4,3,3,,,0.0
0,21,2,5,3,3,,,0.0
0,21,3,1,1,3,,,0.0
0,21,3,2,1,3,,,0.0
0,21,3,3,1,3,,,0.0
0,21,3,4,1,3,,,0.0
0,21,3,5,1,3,,,0.0
0,21,1,1,2,3,,,0.0
0,21,1,2,2,3,,,0.0
0,21,1,3,2,3,,,0.0
0,21,1,4,2,3,,,0.0
0,21,1,5,2,3,,,0.0
